col,model,feature_rank,feature_idx,feature_value
1,biomedparse,1,376,0.03287660330533981
1,biomedparse,2,346,0.028032273054122925
1,biomedparse,3,67,0.02515358477830887
1,biomedparse,4,1619,0.02362857013940811
1,biomedparse,5,1236,0.022781431674957275
1,dinov3,1,390,0.04263143241405487
1,dinov3,2,425,0.035392336547374725
1,dinov3,3,1317,0.03250633925199509
1,dinov3,4,119,0.031095214188098907
1,dinov3,5,18,0.028155259788036346
2,biomedparse,1,346,0.05125952512025833
2,biomedparse,2,948,0.0477772019803524
2,biomedparse,3,399,0.045080073177814484
2,biomedparse,4,1735,0.04375777393579483
2,biomedparse,5,151,0.04373756796121597
2,dinov3,1,105,0.05300203710794449
2,dinov3,2,233,0.04355804622173309
2,dinov3,3,444,0.03607846051454544
2,dinov3,4,27,0.033483751118183136
2,dinov3,5,598,0.02880757302045822
3,biomedparse,1,1608,0.019200526177883148
3,biomedparse,2,236,0.017032168805599213
3,biomedparse,3,477,0.015976175665855408
3,biomedparse,4,299,0.01535083819180727
3,biomedparse,5,244,0.011346901766955853
3,dinov3,1,14,0.03787454217672348
3,dinov3,2,853,0.02680858224630356
3,dinov3,3,36,0.026547320187091827
3,dinov3,4,1544,0.024858660995960236
3,dinov3,5,18,0.024304576218128204
4,biomedparse,1,476,0.02589559182524681
4,biomedparse,2,426,0.02249188721179962
4,biomedparse,3,1572,0.020817246288061142
4,biomedparse,4,656,0.020496517419815063
4,biomedparse,5,308,0.018750809133052826
4,dinov3,1,365,0.07798830419778824
4,dinov3,2,119,0.07687746733427048
4,dinov3,3,1188,0.06700185686349869
4,dinov3,4,100,0.0642886608839035
4,dinov3,5,45,0.0490371510386467
5,biomedparse,1,308,0.04012839496135712
5,biomedparse,2,1761,0.034753523766994476
5,biomedparse,3,58,0.0331980437040329
5,biomedparse,4,1844,0.032965704798698425
5,biomedparse,5,1510,0.032420217990875244
5,dinov3,1,8129,0.0500740110874176
5,dinov3,2,144,0.04837608337402344
5,dinov3,3,64,0.04782797396183014
5,dinov3,4,314,0.04670857638120651
5,dinov3,5,635,0.04353103041648865
