rank,feature_idx,coefficient,abs_coefficient
1,30,6.1966667,6.1966667
2,12,5.4072404,5.4072404
3,19,5.2246532,5.2246532
4,7,5.176829,5.176829
5,50,5.124539,5.124539
6,5,4.2735124,4.2735124
7,1,4.000156,4.000156
8,13,3.9984963,3.9984963
9,198,3.835884,3.835884
10,113,3.5287788,3.5287788
11,21,3.4321034,3.4321034
12,33,3.0585756,3.0585756
13,40,2.9447632,2.9447632
14,56,2.8362424,2.8362424
15,27,2.8319006,2.8319006
16,202,2.7812936,2.7812936
17,0,2.7612145,2.7612145
18,32,2.6912954,2.6912954
19,9,2.612425,2.612425
20,197,2.5683057,2.5683057
21,98,2.5634816,2.5634816
22,44,2.5414388,2.5414388
23,45,2.4171584,2.4171584
24,62,2.36993,2.36993
25,88,2.3195271,2.3195271
26,241,2.304929,2.304929
27,133,2.2064478,2.2064478
28,15,2.1882293,2.1882293
29,782,2.119237,2.119237
30,234,2.0524495,2.0524495
31,31,1.9932795,1.9932795
32,248,1.9774994,1.9774994
33,213,1.9733659,1.9733659
34,305,1.9474117,1.9474117
35,28,1.9126993,1.9126993
36,117,1.883079,1.883079
37,36,1.8816452,1.8816452
38,51,1.8772277,1.8772277
39,986,1.8414799,1.8414799
40,23,1.815795,1.815795
41,868,1.7954841,1.7954841
42,2,1.7946407,1.7946407
43,212,1.778386,1.778386
44,102,1.7594543,1.7594543
45,49,1.7377731,1.7377731
46,583,1.7232237,1.7232237
47,382,1.7214068,1.7214068
48,11,1.6986204,1.6986204
49,292,1.655667,1.655667
50,627,1.6249905,1.6249905
51,460,1.5688971,1.5688971
52,41,1.5612835,1.5612835
53,605,1.5362123,1.5362123
54,100,1.524541,1.524541
55,80,1.5114303,1.5114303
56,771,1.5032932,1.5032932
57,207,1.4872961,1.4872961
58,611,1.4792467,1.4792467
59,43,1.4701257,1.4701257
60,87,1.4538717,1.4538717
61,93,1.4173088,1.4173088
62,384,1.3979152,1.3979152
63,1011,1.3938185,1.3938185
64,853,1.3707585,1.3707585
65,104,1.363468,1.363468
66,513,1.3630489,1.3630489
67,519,1.32114,1.32114
68,1012,1.3069874,1.3069874
69,781,1.290867,1.290867
70,65,1.2651716,1.2651716
71,16,1.2637198,1.2637198
72,54,1.2558745,1.2558745
73,409,1.2531664,1.2531664
74,219,1.2482166,1.2482166
75,483,1.233572,1.233572
76,165,1.2005656,1.2005656
77,969,1.1880703,1.1880703
78,564,1.1791997,1.1791997
79,60,1.1709656,1.1709656
80,441,1.1563878,1.1563878
81,897,1.1406523,1.1406523
82,246,1.1025872,1.1025872
83,121,1.0956407,1.0956407
84,559,1.0919324,1.0919324
85,18,1.0909934,1.0909934
86,38,1.0892663,1.0892663
87,931,1.0855455,1.0855455
88,47,1.0789732,1.0789732
89,42,1.0782412,1.0782412
90,110,1.0743923,1.0743923
91,997,1.0736316,1.0736316
92,6,1.0458461,1.0458461
93,816,1.0405675,1.0405675
94,542,1.0301522,1.0301522
95,64,1.0279636,1.0279636
96,422,1.0248836,1.0248836
97,785,1.0222872,1.0222872
98,638,1.0050026,1.0050026
99,331,0.9994399,0.9994399
100,114,0.985524,0.985524
